fecha;mes;año;ventas
2017-10-05;10;2017;25517.52000000003
2017-10-06;10;2017;17084.66999999998
2017-10-07;10;2017;15376.01999999998
2017-10-08;10;2017;16539.009999999984
2017-10-09;10;2017;30337.790000000074
2017-10-10;10;2017;28151.13000000006
2017-10-11;10;2017;22669.370000000035
2017-10-12;10;2017;18754.229999999996
2017-10-13;10;2017;22881.190000000024
2017-10-14;10;2017;13528.819999999985
2017-10-15;10;2017;18751.85
2017-10-16;10;2017;30580.16000000009
2017-10-17;10;2017;29675.770000000073
2017-10-18;10;2017;27257.79000000006
2017-10-19;10;2017;23223.71000000005
2017-10-20;10;2017;18626.20000000001
2017-10-21;10;2017;14982.449999999984
2017-10-22;10;2017;19786.810000000012
2017-10-23;10;2017;22278.10000000002
2017-10-24;10;2017;22071.27000000003
2017-10-25;10;2017;17507.059999999998
2017-10-26;10;2017;22573.150000000016
2017-10-27;10;2017;20377.580000000013
2017-10-28;10;2017;16483.60999999999
2017-10-29;10;2017;17267.749999999978
2017-10-30;10;2017;20221.230000000007
2017-10-31;10;2017;23813.00000000003
2017-11-01;11;2017;19383.609999999997
2017-11-02;11;2017;21263.730000000014
2017-11-03;11;2017;22844.05000000003
2017-11-04;11;2017;19169.07
2017-11-05;11;2017;17327.439999999984
2017-11-06;11;2017;28600.29000000007
2017-11-07;11;2017;20829.710000000014
2017-11-08;11;2017;19240.510000000002
2017-11-09;11;2017;25053.340000000044
2017-11-10;11;2017;20223.84
2017-11-11;11;2017;23292.070000000025
2017-11-12;11;2017;23087.260000000024
2017-11-13;11;2017;24391.970000000052
2017-11-14;11;2017;27049.680000000037
2017-11-15;11;2017;23711.290000000034
2017-11-16;11;2017;28268.820000000054
2017-11-17;11;2017;29209.07000000005
2017-11-18;11;2017;23233.300000000025
2017-11-19;11;2017;19955.559999999994
2017-11-20;11;2017;44284.47000000006
2017-11-21;11;2017;34316.640000000094
2017-11-22;11;2017;24962.570000000047
2017-11-23;11;2017;44712.88000000006
2017-11-24;11;2017;152653.7399999986
2017-11-25;11;2017;60923.48000000014
2017-11-26;11;2017;45315.28000000014
2017-11-27;11;2017;47923.66000000013
2017-11-28;11;2017;47886.5500000001
2017-11-29;11;2017;39834.75000000012
2017-11-30;11;2017;31322.74000000011
2016-12-23;12;2016;10.9
2017-12-01;12;2017;39981.91000000012
2017-12-02;12;2017;31208.13000000009
2017-12-03;12;2017;29262.92000000007
2017-12-04;12;2017;47348.52000000006
2017-12-05;12;2017;33632.370000000104
2017-12-06;12;2017;39198.74000000012
2017-12-07;12;2017;28055.780000000068
2017-12-08;12;2017;29847.46000000007
2017-12-09;12;2017;20027.04
2017-12-10;12;2017;24695.790000000045
2017-12-11;12;2017;33990.390000000116
2017-12-12;12;2017;33468.710000000116
2017-12-13;12;2017;29601.280000000086
2017-12-14;12;2017;25286.23000000005
2017-12-15;12;2017;27382.200000000033
2017-12-16;12;2017;20296.28000000001
2017-12-17;12;2017;19312.409999999978
2017-12-18;12;2017;29162.11000000007
2017-12-19;12;2017;20615.990000000034
2017-12-20;12;2017;27958.530000000042
2017-12-21;12;2017;18572.22
2017-12-22;12;2017;14935.299999999981
2017-12-23;12;2017;12875.04999999998
2017-12-24;12;2017;5759.0099999999975
2017-12-25;12;2017;10381.339999999993
2017-12-26;12;2017;20549.430000000004
2017-12-27;12;2017;17700.399999999987
2017-12-28;12;2017;15037.489999999972
2017-12-29;12;2017;16042.71999999998
2017-12-30;12;2017;13042.649999999985
2017-12-31;12;2017;8685.76999999999
